,player_id,faceOffWins,faceoffTaken,actual_win_pct,sim_win_pct_mean_weighted
107,8458955,187,469,0.39872068230277186,0.4996140724946695
108,8458959,1,4,0.25,0.494
109,8458976,1870,3586,0.5214723926380368,0.5001073619631902
110,8458978,607,1276,0.475705329153605,0.5003565830721003
111,8458982,124,245,0.5061224489795918,0.4995020408163266
112,8458984,1,4,0.25,0.49225
113,8458996,0,9,0.0,0.5004444444444445
114,8459001,29,66,0.4393939393939394,0.5001818181818181
115,8459004,0,2,0.0,0.499
116,8459010,6,12,0.5,0.5051666666666667
117,8459019,5,12,0.4166666666666667,0.50075
118,8459024,16,93,0.17204301075268819,0.5008172043010752
119,8459053,2,2,1.0,0.488
120,8459064,1182,2393,0.493940660259089,0.5001587964897618
121,8459071,20,40,0.5,0.4998750000000001
122,8459094,912,2005,0.45486284289276807,0.5003975062344139
